  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
726603 04974 201303140012 260   7 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   29   12 ****** 30.30 1018.0 *** *** ***** ***** ***** ***** ** 
726603 04974 201303140032 270   6 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   29   12 ****** 30.31 1018.3 *** *** ***** ***** ***** ***** ** 
726603 04974 201303140052 250   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   28   13 ****** 30.31 1018.3 *** *** ***** ***** ***** ***** ** 
726603 04974 201303140112 240   5 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   28   14 ****** 30.30 1018.0 *** *** ***** ***** ***** ***** ** 
726603 04974 201303140132 230   7 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   27   15 ****** 30.30 1018.0 *** *** ***** ***** ***** ***** ** 
726603 04974 201303140152 220   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   27   15 ****** 30.30 1018.0 *** *** ***** ***** ***** ***** ** 
726603 04974 201303140212 220   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   27   15 ****** 30.29 1017.6 *** *** ***** ***** ***** ***** ** 
726603 04974 201303140232 230   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   26   15 ****** 30.29 1017.6 *** *** ***** ***** ***** ***** ** 
726603 04974 201303140252 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   26   15 ****** 30.29 1017.6 *** *** ***** ***** ***** ***** ** 
726603 04974 201303140312 150   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   26   16 ****** 30.28 1017.3 *** *** ***** ***** ***** ***** ** 
726603 04974 201303140332 170   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   26   16 ****** 30.28 1017.3 *** *** ***** ***** ***** ***** ** 
726603 04974 201303140352 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   26   16 ****** 30.27 1017.0 *** *** ***** ***** ***** ***** ** 
726603 04974 201303140413 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   25   16 ****** 30.27 1017.0 *** *** ***** ***** ***** ***** ** 
726603 04974 201303140432 180   5 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   25   17 ****** 30.26 1016.6 *** *** ***** ***** ***** ***** ** 
726603 04974 201303140452 190   5 *** 110 BKN * * * 10.0 ** ** ** ** ** ** ** ** *   25   18 ****** 30.26 1016.6 *** *** ***** ***** ***** ***** ** 
726603 04974 201303140512 180   5 *** 100 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   25   19 ****** 30.26 1016.6 *** *** ***** ***** ***** ***** ** 
726603 04974 201303140532 150   5 ***  90 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   25   18 ****** 30.25 1016.3 *** *** ***** ***** ***** ***** ** 
726603 04974 201303140552 130   3 ***  75 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   25   18 ****** 30.24 1015.9 *** *** ***** ***** ***** ***** ** 
726603 04974 201303140612 ***   0 ***  75 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   24   18 ****** 30.24 1015.9 *** *** ***** ***** ***** ***** ** 
726603 04974 201303140632 160   3 ***  75 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   25   19 ****** 30.23 1015.6 *** *** ***** ***** ***** ***** ** 
726603 04974 201303140652 ***   0 ***  75 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   25   19 ****** 30.23 1015.6 *** *** ***** ***** ***** ***** ** 
726603 04974 201303140712 150   3 ***  60 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   25   19 ****** 30.22 1015.3 *** *** ***** ***** ***** ***** ** 
726603 04974 201303140732 150   5 ***  48 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   26   19 ****** 30.22 1015.3 *** *** ***** ***** ***** ***** ** 
726603 04974 201303140752 160   3 ***  50 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   26   19 ****** 30.22 1015.3 *** *** ***** ***** ***** ***** ** 
726603 04974 201303140812 160   5 ***  60 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   26   19 ****** 30.20 1014.6 *** *** ***** ***** ***** ***** ** 
726603 04974 201303140832 170   5 ***  60 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   26   19 ****** 30.20 1014.6 *** *** ***** ***** ***** ***** ** 
726603 04974 201303140852 150   5 ***  34 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   26   19 ****** 30.20 1014.6 *** *** ***** ***** ***** ***** ** 
726603 04974 201303140912 160   3 ***  29 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   26   19 ****** 30.19 1014.3 *** *** ***** ***** ***** ***** ** 
726603 04974 201303140932 140   5 ***  29 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   26   19 ****** 30.18 1013.9 *** *** ***** ***** ***** ***** ** 
726603 04974 201303140952 130   5 ***  43 OVC * * *  7.0 ** ** ** ** ** ** ** ** *   25   19 ****** 30.17 1013.6 *** *** ***** ***** ***** ***** ** 
726603 04974 201303141012 140   5 ***  28 OVC * * *  7.0 ** ** ** ** 71 ** ** ** *   25   20 ****** 30.16 1013.3 *** *** ***** ***** ***** ***** ** 
726603 04974 201303141032 140   6 ***  17 OVC * * *  1.5 ** ** ** ** 71 ** ** ** *   25   20 ****** 30.17 1013.6 *** *** ***** ***** ***** ***** ** 
726603 04974 201303141052 130   6 ***   7 OVC * * *  1.5 ** ** ** ** 71 ** ** ** *   24   21 ****** 30.16 1013.3 *** *** ***** ***** ***** ***** ** 
726603 04974 201303141112 140   5 ***   8 OVC * * *  1.5 ** ** ** ** 71 ** ** ** *   24   22 ****** 30.15 1012.9 *** *** ***** ***** ***** ***** ** 
726603 04974 201303141132 140   5 ***  10 OVC * * *  2.5 ** ** ** ** 71 ** ** ** *   24   22 ****** 30.14 1012.6 *** *** ***** ***** ***** ***** ** 
726603 04974 201303141152 150   8 ***  20 OVC * * *  2.5 ** ** ** ** 71 ** ** ** *   24   22 ****** 30.13 1012.2 *** *** ***** ***** ***** ***** ** 
726603 04974 201303141212 140   9 ***   7 OVC * * *  1.3 ** ** ** ** 71 ** ** ** *   25   22 ****** 30.12 1011.9 *** ***  0.01 ***** ***** ***** ** 
726603 04974 201303141232 140   7 ***   7 OVC * * *  2.0 ** ** ** ** 71 ** ** ** *   25   22 ****** 30.11 1011.6 *** ***  0.01 ***** ***** ***** ** 
726603 04974 201303141252 120   6 ***  41 OVC * * *  5.0 ** ** ** ** 10 ** ** ** *   25   23 ****** 30.12 1011.9 *** ***  0.01 ***** ***** ***** ** 
726603 04974 201303141312 130   5 ***  43 OVC * * *  7.0 ** ** ** ** ** ** ** ** *   26   23 ****** 30.13 1012.2 *** *** ***** ***** ***** ***** ** 
726603 04974 201303141332 150   8 ***  14 OVC * * *  7.0 ** ** ** ** ** ** ** ** *   26   23 ****** 30.12 1011.9 *** *** ***** ***** ***** ***** ** 
726603 04974 201303141352 130   6 ***  14 OVC * * *  7.0 ** ** ** ** ** ** ** ** *   26   23 ****** 30.13 1012.2 *** *** ***** ***** ***** ***** ** 
726603 04974 201303141412 140   5 ***  60 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   26   23 ****** 30.13 1012.2 *** *** ***** ***** ***** ***** ** 
726603 04974 201303141432 150   6 ***  60 OVC * * * 10.0 ** ** ** ** ** ** ** ** *   27   23 ****** 30.14 1012.6 *** *** ***** ***** ***** ***** ** 
726603 04974 201303141452 130   5 ***  60 OVC * * *  7.0 ** ** ** ** ** ** ** ** *   27   23 ****** 30.15 1012.9 *** *** ***** ***** ***** ***** ** 
726603 04974 201303141512 130   6 ***  60 BKN * * * 10.0 ** ** ** ** ** ** ** ** *   28   23 ****** 30.13 1012.2 *** *** ***** ***** ***** ***** ** 
726603 04974 201303141532 140   9 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   28   23 ****** 30.12 1011.9 *** *** ***** ***** ***** ***** ** 
726603 04974 201303141552 150   8 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   29   24 ****** 30.12 1011.9 *** ***  0.01 ***** ***** ***** ** 
726603 04974 201303141612 140   6 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   30   24 ****** 30.12 1011.9 *** *** ***** ***** ***** ***** ** 
726603 04974 201303141632 160   7 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   31   25 ****** 30.12 1011.9 *** ***  0.01 ***** ***** ***** ** 
726603 04974 201303141652 160   7 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   32   25 ****** 30.12 1011.9 *** ***  0.01 ***** ***** ***** ** 
726603 04974 201303141712 170   8 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   32   25 ****** 30.11 1011.6 *** *** ***** ***** ***** ***** ** 
726603 04974 201303141732 170   6 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   32   25 ****** 30.12 1011.9 *** *** ***** ***** ***** ***** ** 
726603 04974 201303141752 180   5 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   33   25 ****** 30.12 1011.9 *** *** ***** ***** ***** ***** ** 
726603 04974 201303141812 150   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   33   25 ****** 30.13 1012.2 *** *** ***** ***** ***** ***** ** 
726603 04974 201303141832 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   35   26 ****** 30.12 1011.9 *** *** ***** ***** ***** ***** ** 
726603 04974 201303141852 100   7 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   36   26 ****** 30.10 1011.2 *** *** ***** ***** ***** ***** ** 
726603 04974 201303141912 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   35   26 ****** 30.10 1011.2 *** *** ***** ***** ***** ***** ** 
726603 04974 201303141932 140   5 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   36   26 ****** 30.09 1010.9 *** *** ***** ***** ***** ***** ** 
726603 04974 201303141952 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   36   26 ****** 30.10 1011.2 *** *** ***** ***** ***** ***** ** 
726603 04974 201303142012 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   37   26 ****** 30.10 1011.2 *** *** ***** ***** ***** ***** ** 
726603 04974 201303142032 170   5 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   37   26 ****** 30.09 1010.9 *** *** ***** ***** ***** ***** ** 
726603 04974 201303142052 130   5 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   37   26 ****** 30.09 1010.9 *** *** ***** ***** ***** ***** ** 
726603 04974 201303142112 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   37   26 ****** 30.11 1011.6 *** *** ***** ***** ***** ***** ** 
